barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,position,import,dimensions,,,,,,,
,BD4,,83.jpg,Djembé africain grand modèle,,Djembé africain fabriqué en bois de linké. Sculpture profonde. Peau de chèvre naturelle et corde d'alpine allemand. Grand modèle. Disponible en différentes tailles et couleurs. Importatation de Ghana,,,percu,,61,,38,161,,,,,,,,,,,,,,
,UN-M1,,84.jpg,Paravent bois de rose sculpté 4 panneaux,,Paravent fabriqué en bois de rose sculpté profond. 4 panneaux. Disponible en teintes variées. Importation de l'Inde ,,,sherazed,brroomdividers,80,200,2.5,25,240,,,,,,,,,,,,,
,,,85.jpg,Meuble de divertissement métal et vitre,,Meuble de divertissement vitré fabriqué en métal. Disponible en différentes tailles. Importation de l'Inde,,,industrialchic,mediaunits,,,,,,,,,,,,,,,,,,
SC88,SUCI,,86.jpg,Bibliothèque aviateur,,Bibliothèque style aviateur fabriquée en bois de rose recouvert de feuilles d'aluminium épaisses. 2 tiroirs et 4 étagères. Disponible en tailles variées. Importation de l'Inde. ,,,aviation,storage,80,78,35,100,1495,,,,,no,,,,,,,,
,INDIANA7,,87.jpg,Grand bouddha sur pied en pierre volcanique,,Grand bouddha sur pied fabriqué en pierre volcanique. ,,,temple,statue,78,60,40,150,595,,,,,,,,,,,,,
10923451069,UN-M2,,88.jpg,Chaise aviateur,,"Chaise style aviateur ajustable jusqu'au une hauteur bar, disponible en différentes couleurs de cuir. Importation de l'Inde.",,,aviation,chairs,41,21,21,20,1495,,,,,,,,,,,,,
10923451068,SUCI2,,89.jpg,Bureau aviateur,,Bureau style aviateur fabriqué en bois de rose recouvert de feuilles d'aluminium épaisses. Disponible en différentes tailles. Importation de l'Inde.,,,aviation,tables,80,140,60,100,1600,,,,,,,,,,,,,
,KHEM4,,90.jpg,Coffre cuir et canevas,,Coffre fabriqué en bois recouvert de cuir et canevas avec manche en métal. Importation de l'Inde,,,vintagecanvas,storagebox,50,70,40,24,440,,,,,,,"27,14,13",,,,,,
10923450235,OPM,,91.jpg,Table basse opium métal brossé,,Table basse opium rectangulaire fabriquée en métal brossé. Importation de l'Inde ,,,iron,coffetables,41,120,61,75,736,,,,,,,,,,,,,
,FABL3,,92.jpg,Table à diner bois de chemin de fer,,Table à diner en bois de chemin de fer recyclé de 200 ans. Avec piètement métallique brossé. Disponible en tailles et couleurs variées. Fabriqué au Québec. ,,,railroad,tables,77,120,80,100,990,,,,,,,,,,,,,
,UN -M3,,93.jpg,Buffet aviateur à 3 tiroirs et 3 portes,,Buffet style aviateur à 3 tiroirs et 3 portes fabriqué en bois de rose recouvert de feuilles d'aluminium épisses. Importation de l'Inde,,,aviation,buffets,,,,,,,,,,,,,,,,,,
,WD ALMIRAH,,94.jpg,Armoire antique en bois de rose,,"Armoire conçue à partir d'une vieille porte antique centenaire, fabriquée en bois de rose (shisham). Disponible en différentes tailles et couleurs. Importation de l'Inde.",,,unique,wardrobe,185,91,43,150,1995,,,,,,,,,,,,,
,WD ALMIRAH2,,95.jpg,Armoire antique - Indes,,"Armoire conçue à partir d'une vieille porte antique centenaire, fabriquée en bois de rose (shisham). Disponible en différentes tailles et couleurs. Importation de l'Inde.ite en bois de rose (shisham). Disponible en différentes tailles et couleurs. Provenance Inde.",,,unique,wardrobe,192,88,43,150,1995,,,,,,,,,,,,,
,,,96.jpg,Armoire antique unique,,"Armoire conçue à partir d'une vieille porte antique centenaire, fabriquée en bois de rose (shisham). Disponible en différentes tailles et couleurs. Importation de l'Inde.",,,unique,wardrobe,,,,,,,,,,,,,,,,,,
10923451084,SC 58,,97.jpg,Armoire antique colorée,,"Armoire conçue à partir d'une vieille porte antique centenaire, fabriquée en bois de rose (shisham). Disponible en différentes tailles et couleurs. Importation de l'Inde.",,,unique,wardrobe,175,82,43,150,1600,,,,,,,,,,,,,
,,,98.jpg,Armoire antique unique - Indes,,"Armoire conçue à partir d'une vieille porte antique centenaire, fabriquée en bois de rose (shisham). Disponible en différentes tailles et couleurs. Importation de l'Inde.",,,unique,wardrobe,,,,,,,,,,,,,,,,,,
,SUCI3,,99.jpg,Armoire antique SC1,,"Armoire conçue à partir d'une vieille porte antique centenaire, fabriquée en bois de rose (shisham). Disponible en différentes tailles et couleurs. Importation de l'Inde.",,,unique,wardrobe,220,142,40,150,3500,,,,,,,,,,,,,
,,,100.jpg,Armoire antique,,"Armoire conçue à partir d'une vieille porte antique centenaire, fabriquée en bois de rose (shisham). Disponible en différentes tailles et couleurs. Importation de l'Inde.",,,unique,wardrobe,,,,,,,,,,,,,,,,,,
10923451099,SC 1800,,101.jpg,Armoire style vintage,,Armoire style vintage fabriquée à partir de bois de manguier et métal martelé. Importation de l'Inde.,,,industrialchic,wardrobe,210,79,49,150,3000,,,,,,,,,,,,,
,WD ALMIRAH3,,102.jpg,Porte antique centenaire. Pièce unique,,Porte antique centenaire. Pièce unique récupérée d'un vieux palais.  Importation de l'Inde.,,,industrialchic,wardrobe,210,79,49,150,2880,,,,,,,,,,,,,
,,,103.jpg,Armoire antique en bois de rose ALM2,,"Armoire conçue à partir d'une vieille porte antique centenaire, fabriquée en bois de rose (shisham). Disponible en différentes tailles et couleurs. Importation de l'Inde.",,,industrialchic,wardrobe,,,,,,,,,,,,,,,,,,
,,,104.jpg,Armoire style vintage manguier,,Armoire style vintage fabriquée à partir de bois de manguier et métal martelé. Importation de l'Inde.,,,industrialchic,wardrobe,,,,,,,,,,,,,,,,,,
1123450111,SUCI-ALM 20,,105.jpg,Armoire antique ALM,,"Armoire conçue à partir d'une vieille porte antique centenaire, fabriquée en bois de rose (shisham). Disponible en différentes tailles et couleurs. Importation de l'Inde.",,,industrialchic,wardrobe,215,120,52,150,3670,,,,,,,,,,,,,
,,,106.jpg,Buffet en bois de rose,,Buffet style moderne fabriqué en bois de rose. ,,,rosewood,buffets,,,,,,,,,,,,,,,,,,
,,,107.jpg,Porte antique centenaire - Pièce unique,,Porte antique centenaire. Pièce unique récupérée d'un vieux palais.  Importation de l'Inde.,,,unique,wardrobe,210,78,52,150,1495,,,,,,,,,,,,,
,Tc 11,,108.jpg,Table basse ronde organique,,"Table basse originale de style moderne rond organique, fabriqué en os animal (vache) avec teinture naturelle et piètement chromé. Pièce unique. Importation d'Indonésie.",,,unique,lrconsole,45,45,100,150,1350,,,,,,,,,,,,,
,Foex,,109.jpg,Sofa 2 places canevas et cuir,,"Sofa à 2 places fabriqué en canevas et cuir. Disponible dans différentes couleurs et différentes tailles (1, 2 ou 3 places). Importation de l'Inde. ",,,vintagecanvas,sofas,83,160,80,150,1400,,,,,,,,,,,,,
